url,pred,conf,risk,time,error,index,ground_truth
https://lightwidget.com/add-ons,0,95.99,24.01,7.359,,0,0
http://afnan00777.github.io/Netflix-clone,1,99.9,88.6,6.27,,1,1
http://38b.mred365.cn,1,99.9,80,6.54,,2,1
https://pub-c7f440236a9e4596b155c7ab367794d3.r2.dev/index.html,1,99.9,92.2,6.559,,3,1
https://www.google.com/intl/ar/gmail/about/for-work/,0,99.9,0.02,7.8,,4,0
https://vine.co/terms,0,95.72,24.28,7.811,,5,0
https://onlineradiobox.com/fra/,0,98.98,21.02,6.722,,6,0
https://tinyurl.com/sirt7wa,1,99.9,80,6.12,,7,1
https://www.okta.com/,0,99.9,0.03,6.27,,8,0
http://enlinaea.9e.cz/,1,99.9,79.99,9.353,,9,1
https://us16.campaign-archive.com/?u=66df2de373412b00e90bc7c46&id=0252dcafac,0,99.9,2.39,6.216,,10,1
https://www.googleadservices.com/pagead/aclk?sa=L&ai=COF1dzpSMX_ODNNSlYIm6j4AL_YXA3F-Jitbh7AzX1qK9wAEQASCGj4ACYOmC44P8DaABponrjAPIAQaoAwGqBLkBT9AtUtKHTCYpfk-5QYz0sKM3UK9zWtWGT07E2RD5pF-UwZWqUTFeiloIAGodB-1OH3gAPu_X4rX4iTbQrnov9XA2M5puwv8Yr3QvEavPs02ngX-20FpR4dhh8Str4qjoX64d0YkiHpHeVgAVQUlvNmcG-ZdW_NQgukg09T5jy4ttFSmdjuIM_Omf5LlsL_z9KE5XSIjZxJjbOXU5zdNvZgu8NO7nxsoHDzvQTNuvPsE83saCZz3SDznABPH-gqWsA5AGAaAGN4AHnuKAN4gHAZAHAqgHjs4bqAfVyRuoB5PYG6gHugaoB-DgG6gH8NkbqAfy2RuoB6a-G6gH7NUbqAfz0RuoB-zVG6gHltgbqAfC2hvYBwCoCAHSCAYIABACGAKxCSLzaiQ_aTAQgAoTmAsByAsF0AstgAwB2BMMqBUB2BUB&ae=1&num=1&cid=CAMSOQClSFh3R3VmeIc4urnRAwz2EAp0nZrt6U2yzVqduMRkRj1I3kd9-ONP3SfmWUrbv5wapOb8_wKG1A&sig=AOD64_2ZqN1xOV_UkfWpmJc3foqPV3cTog&client=ca-gmail&label=gmail_message_ad_external_click&adurl=https%3A%2F%2Fqrco.de%2FbfUwgC?trackingid=H8UYufbGBWdSPFNVKalsn3DOIhr&signature=newsletter,1,99.9,80,5.728,,11,1
https://www.ertnews.gr/news/eidiseis/ellada/,0,99.9,0.01,6.476,,12,0
https://www.pokepara.jp/_hokkaido/m801/a1801/g211/,0,99.9,0.03,6.273,,13,0
https://shbet800.com/Lobby/Game,0,97.33,22.67,7.824,,14,0
http://852229979043039984840232474925377867.hanefra7bikiemta.com,1,99.9,80,5.007,,15,1
https://chicoryapp.com/publishers,0,99.9,0.09,5.09,,16,0
https://www.cmtelematics.com/news/cambridge-mobile-telematics-named-best-among-global-north-american-telematics-service-providers-smartphone-apps/,0,99.9,0.01,7.219,,17,0
https://onlinetalker.urest.org/,1,99.9,79.95,6.61,,18,1
https://www.dropbox.com/scl/fi/rmngh9ire4d7fl2d4tqs9/VIEW-YOUR-BILL-BELOW.paper?rlkey=qewutdlldtm2176fs8winemhd&st=8266dwtn&dl=0,1,99.9,80,5.889,,19,1
http://193.53.126.248/pc/index.php?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.smbc.co.jp%2F%3Fref_%3Dnav_em_hd_re_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&key=a@b.c&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&&ref_=nav_em_hd_clc_signinhttps://www.smbc.co.jp,1,99.9,99.94,4.199,,20,1
https://finablkaredig.firebaseapp.com/,1,99.9,80,4.44,,21,1
https://filmfreeway.com/,0,97.69,22.31,4.884,,22,0
https://info.arxiv.org/help,0,97.89,22.11,6.175,,23,0
https://l.ead.me/bfMvPO,1,99.9,79.98,5.015,,24,1
https://sporza.be/,0,99.9,0.2,6.989,,25,0
https://aftonbladet.se/,0,99.9,0.03,7.374,,26,0
https://apps.expediapartnercentral.com/lodging/help/contactus.html,0,99.9,0.18,8.57,,27,0
https://www.joomla.org/core-features.html,0,99.9,0.01,6.608,,28,0
https://bestwalletoken.web.app/,1,99.9,89.8,5.811,,29,1
http://6fgfgfgrfg4g.blogspot.pe,1,99.9,79.99,7.439,,30,1
https://www.fontanka.ru/text/2021/,0,99.9,0.02,6.745,,31,0
https://websitesource.com/login.php,0,99.9,0.09,5.796,,32,0
https://global.oup.com/academic/category/dictionaries-and-reference,0,99.9,0.01,5.754,,33,0
https://www.fau.de/presse/publikationen/faumagazin/,0,99.9,0.01,7.616,,34,0
https://www.blackcrow.ai/case-studies,0,99.9,0.01,5.03,,35,0
https://www.parentsquare.com/blog/2015-12-18-warmest-wishes-from-parentsquare/,0,99.9,0.01,5.845,,36,0
http://76373091091981985909805.jamb2022.co/?03551563584213891805893947405326280=YWhlZ2dlbkBwcm9jb29wZXJhdGl2ZS5jb20=,1,99.9,79.99,5.73,,37,1
https://www.viki.com/,0,99.9,0.04,5.768,,38,0
https://www.adswizz.com/adswizz-new-digital-advertising-solution-gets-positive-results/,0,99.9,0.01,8.608,,39,0
https://www.schemaapp.com/schema-markup/strange-behaviors-in-googles-structured-data-testing-tool/,0,97.35,22.65,6.96,,40,0
https://goldapple.ru/s/marker-dlya-glaz,0,99.9,0.05,5.92,,41,0
https://sites.google.com/view/kifdalbossi/,0,79.72,40.28,7.772,,42,1
http://smgtc.com/old/PMV/,1,99.9,88.26,6.893,,43,1
https://ably.net/pricing,0,99.9,0.01,7.749,,44,0
https://www.hover.com/renew,0,99.9,0.02,6.29,,45,0
https://gdpr.eu/recital-3-directive-95-46-ec-harmonisation/,0,97.35,22.65,7.079,,46,0
https://bi-enlinea.webcindario.com/,1,99.9,79.99,5.643,,47,1
https://weatherbug.com//www.groundtruth.com/company/management/,0,99.9,0.04,5.053,,48,0
https://q-r.to/bfR3h8,1,99.9,80,5.437,,49,1
https://allstar.gg/legal/terms-of-use,0,97.08,22.92,7.004,,50,0
https://subscribe.freep.com/rr/masthead?gps-source=CPMASTHEAD&itm_campaign=2025ENTCFTEST5&itm_medium=ONSITE&success-url=https%3A%2F%2Fwww.freep.com%2F,0,99.9,0.01,7.14,,51,0
https://timesofisrael.com/,0,99.9,0.02,7.668,,52,0
https://uxfeedback.ru/cases.html,0,99.9,0.02,7.861,,53,0
https://www.menti.com/altin2t9c316,1,99.78,79.78,5.189,,54,1
https://gaiaonline.com//www.gaiaonline.com/forum/t.113992572,0,99.9,0.02,5.939,,55,0
https://myuthscsa-weblogin.webflow.io/,1,99.9,80,4.847,,56,1
https://mollygram.com/why-are-your-online-entertainment-choices-valuable-to-data-brokers,0,99.9,0.01,5.947,,57,0
https://www.xe.com/en-au/,0,97.35,22.65,8.31,,58,0
http://www.vihub.ru/robots.txt,0,99.9,0.01,19.995,,59,0
https://nolanainternational.com/wp/jcu/s/a/session_index,1,90,70,5.242,,60,1
